coursecode,regulation,subjectcode,subjectname,status
BTECH-ECE,R16,BTECH-ECE-R16-3-2-21,VLSI LAB,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-22,MPMC LAB,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-23,CRT-B,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-24,CRT-A,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-25,DSD USING FPGA (ACTIVITY),0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-26,GATE (ACTIVITY),0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-01,ELECTRONIC CIRCUIT ANALYSIS,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-02,ANALOG COMMUNICATIONS,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-03,PULSE AND DIGITAL CIRCUITS,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-04,EMWTL,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-05,CONTROL SYSTEMS,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-06,MS,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-07,ECA LAB,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-08,AC LAB,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-09,CRT-A,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-10,CRT-B,0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-11,OCTAVE(ACTIVITY),0
BTECH-ECE,R16,BTECH-ECE-R16-2-2-12,GATE(ACTIVITY),0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-01,ENGLISH,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-02,Mathematics-III,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-03,Mathematics-II,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-04,Eng.Physics,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-05,Eng.Drawing,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-06,Elements of Mechanical Engg.,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-07,English communication lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-08,Engg.Physics lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-09,IT lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-10,EWS lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-11,ENGLISH,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-12,Mathematics-III,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-13,Mathematics-II,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-14,Applied Physics,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-15,Eng.Drawing,0
